driverId,raceId,total_time_ms,total_time_sec
1,1,5658698,5658.698
1,2,3391355,3391.355
1,3,7135351,7135.351
1,4,5530278,5530.278
1,5,5840216,5840.216
1,6,6086882,6086.882
1,7,5265302,5265.302
1,8,5032322,5032.322
1,9,5887232,5887.232
1,10,5903876,5903.876
1,11,5753647,5753.647
1,13,4499622,4499.622
1,14,6966337,6966.337
1,15,5306915,5306.915
1,16,5562025,5562.025
1,17,2072330,2072.33
1,18,5690616,5690.616
1,19,5525103,5525.103
1,20,5482784,5482.784
1,21,5903238,5903.238
1,22,5213230,5213.23
1,23,7242742,7242.742
1,24,1629903,1629.903
1,25,5564766,5564.766
1,26,5949440,5949.44
1,27,5480874,5480.874
1,28,5870115,5870.115
1,29,5737950,5737.95
1,30,4989933,4989.933
1,31,5237406,5237.406
1,32,7042221,7042.221
1,33,5500792,5500.792
1,34,5517403,5517.403
1,35,5690342,5690.342
1,36,5147365,5147.365
1,37,5552487,5552.487
1,38,5609875,5609.875
1,39,5503020,5503.02
1,40,6033424,6033.424
1,41,6251292,6251.292
1,42,5469965,5469.965
1,43,5486353,5486.353
1,44,4942447,4942.447
1,45,7599019,7599.019
1,46,5752991,5752.991
1,47,5247246,5247.246
1,48,4723868,4723.868
1,49,4862681,4862.681
1,50,7234579,7234.579
1,51,3237130,3237.13
1,52,5299350,5299.35
1,337,5983578,5983.578
1,338,5646429,5646.429
1,339,5651883,5651.883
1,340,6403693,6403.693
1,341,5579272,5579.272
1,342,6617718,6617.718
1,343,5327620,5327.62
1,344,5633456,5633.456
1,345,6034613,6034.613
1,346,5079560,5079.56
1,347,5285760,5285.76
1,348,2101949,2101.949
1,349,5344268,5344.268
1,351,4228006,4228.006
1,352,5466918,5466.918
1,353,10115809,10115.809
1,354,5606437,5606.437
1,355,5986999,5986.999
1,841,5392556,5392.556
1,842,5909789,5909.789
1,843,5818226,5818.226
1,844,5457790,5457.79
1,845,5943931,5943.931
1,846,7805583,7805.583
1,847,816510,816.51
1,848,6022359,6022.359
1,849,5350182,5350.182
1,850,5850334,5850.334
1,851,6450675,6450.675
1,852,1419493,1419.493
1,853,4863589,4863.589
1,854,7214523,7214.523
1,855,5477695,5477.695
1,856,5894013,5894.013
1,857,5519185,5519.185
1,858,5831886,5831.886
1,859,3659749,3659.749
1,860,5653640,5653.64
1,861,9906403,9906.403
1,862,5812941,5812.941
1,863,5769974,5769.974
1,864,6027285,6027.285
1,865,6370658,6370.658
1,866,5549586,5549.586
1,867,6050272,6050.272
1,868,5147751,5147.751
1,869,4693554,4693.554
1,870,6065503,6065.503
1,872,4781221,4781.221
1,873,2591879,2591.879
1,874,5382732,5382.732
1,875,5868343,5868.343
1,876,5484653,5484.653
1,877,2341275,2341.275
1,878,5755269,5755.269
1,879,4712363,4712.363
1,880,5448786,5448.786
1,881,5948862,5948.862
1,882,5799267,5799.267
1,883,5795728,5795.728
1,884,5967565,5967.565
1,885,8285950,8285.95
1,886,5545085,5545.085
1,887,5587212,5587.212
1,888,6101638,6101.638
1,890,6149445,6149.445
1,891,5049930,5049.93
1,892,4746879,4746.879
1,893,7206291,7206.291
1,894,6218956,6218.956
1,895,792411,792.411
1,896,5524662,5524.662
1,897,5965373,5965.373
1,898,5984506,5984.506
1,899,5629203,5629.203
1,900,206415,206.415
1,901,6025974,6025.974
1,902,5982743,5982.743
1,903,5812810,5812.81
1,904,6065155,6065.155
1,905,6576871,6576.871
1,906,4011734,4011.734
1,907,5276908,5276.908
1,908,8812094,8812.094
1,909,5645444,5645.444
1,910,6790915,6790.915
1,911,4510080,4510.08
1,912,4750236,4750.236
1,913,7204795,7204.795
1,914,6703021,6703.021
1,915,5510744,5510.744
1,916,6004785,6004.785
1,917,5404012,5404.012
1,918,5942619,5942.619
1,926,5514067,5514.067
1,927,6074362,6074.362
1,928,5982008,5982.008
1,929,5705809,5705.809
1,930,6090106,6090.106
1,931,6564473,6564.473
1,932,5513145,5513.145
1,933,5420730,5420.73
1,934,5487729,5487.729
1,936,6422010,6422.01
1,937,5020387,5020.387
1,938,4680688,4680.688
1,939,3968650,3968.65
1,940,5286508,5286.508
1,941,5831024,5831.024
1,942,6652703,6652.703
1,943,6156992,6156.992
1,944,5476846,5476.846
1,945,5918446,5918.446
1,948,6503625,6503.625
1,949,5644844,5644.844
1,950,6012121,6012.121
1,951,5587019,5587.019
1,953,7169133,7169.133
1,954,5465296,5465.296
1,955,5628701,5628.701
1,956,5258107,5258.107
1,957,5695831,5695.831
1,958,6030115,6030.115
1,959,5444200,5444.2
1,960,6318692,6318.692
1,961,4663159,4663.159
1,962,6956988,6956.988
1,963,4132572,4132.572
1,964,5209109,5209.109
1,965,5892618,5892.618
1,966,6031402,6031.402
1,967,10861335,10861.335
1,968,5884013,5884.013
1,969,5061647,5061.647
1,970,5856158,5856.158
1,971,5640034,5640.034
1,972,5325063,5325.063
1,973,5756497,5756.497
1,974,6300141,6300.141
1,975,5585154,5585.154
1,976,7441761,7441.761
1,977,4915953,4915.953
1,978,4887430,4887.43
1,979,5999598,5999.598
1,980,5082820,5082.82
1,981,4532312,4532.312
1,982,7403544,7403.544
1,983,5414060,5414.06
1,984,5251194,5251.194
1,985,5630991,5630.991
1,986,5835476,5835.476
1,987,5491730,5491.73
1,988,5657961,5657.961
1,989,5378319,5378.319
1,990,5528452,5528.452
1,991,5753365,5753.365
1,992,6224291,6224.291
1,993,5729972,5729.972
1,994,6191820,6191.82
1,995,5332936,5332.936
1,996,5411385,5411.385
1,997,4335652,4335.652
